113271507,chalcone synthase-like,KO:K00660,EC:2.3.1.74,
113271508,chalcone synthase-like,KO:K00660,EC:2.3.1.74,
113281217,chalcone synthase-like,KO:K00660,EC:2.3.1.74,
113345230,chalcone synthase-like,KO:K00660,EC:2.3.1.74,
113349173,chalcone synthase,KO:K00660,EC:2.3.1.74,
113360844,chalcone synthase-like,KO:K00660,EC:2.3.1.74,
113348195,chalcone synthase-like,KO:K00660,EC:2.3.1.74,
113279556,probable chalcone--flavonone isomerase 3,KO:K01859,EC:5.5.1.6,
113309592,chalcone--flavonone isomerase-like,KO:K01859,EC:5.5.1.6,
113345795,chalcone--flavonone isomerase 2-like,KO:K01859,EC:5.5.1.6,
113323639,chalcone--flavonone isomerase 2-like,KO:K01859,EC:5.5.1.6,
113321401,chalcone--flavonone isomerase-like,KO:K01859,EC:5.5.1.6,
113345156,chalcone--flavonone isomerase-like,KO:K01859,EC:5.5.1.6,
113283679,probable chalcone--flavonone isomerase 3,KO:K01859,EC:5.5.1.6,
113283681,probable chalcone--flavonone isomerase 3,KO:K01859,EC:5.5.1.6,
113283682,probable chalcone--flavonone isomerase 3,KO:K01859,EC:5.5.1.6,
113361812,probable chalcone--flavonone isomerase 3,KO:K01859,EC:5.5.1.6,
113290254,flavanone 3-dioxygenase-like,KO:K00475,EC:1.14.11.9,
113288864,flavanone 3-dioxygenase-like,KO:K00475,EC:1.14.11.9,
113346311,flavonol synthase/flavanone 3-hydroxylase-like,KO:K05278,EC:1.14.20.6,
113346474,flavonol synthase/flavanone 3-hydroxylase-like,KO:K05278,EC:1.14.20.6,
113346476,flavonol synthase/flavanone 3-hydroxylase-like,KO:K05278,EC:1.14.20.6,
113356202,flavonol synthase/flavanone 3-hydroxylase-like,KO:K05278,EC:1.14.20.6,
113356203,flavonol synthase/flavanone 3-hydroxylase-like,KO:K05278,EC:1.14.20.6,
113361278,flavonol synthase/flavanone 3-hydroxylase-like,KO:K05278,EC:1.14.20.6,
113322609,trans-cinnamate 4-monooxygenase,KO:K00487,EC:1.14.14.91,
113310740,trans-cinnamate 4-monooxygenase-like,KO:K00487,EC:1.14.14.91,
113323649,flavonoid 3'-monooxygenase-like,KO:K05280,EC:1.14.14.82,
113275817,flavonoid 3'-monooxygenase-like,KO:K05280,EC:1.14.14.82,
113314103,flavonoid 3'-monooxygenase-like,KO:K05280,EC:1.14.14.82,
113333459,dihydroflavonol 4-reductase-like isoform X1,KO:K13082,EC:1.1.1.219 1.1.1.234,
113345760,dihydroflavonol 4-reductase-like,KO:K13082,EC:1.1.1.219 1.1.1.234,
113275014,leucoanthocyanidin dioxygenase-like,KO:K05277,EC:1.14.20.4,
113304591,leucoanthocyanidin dioxygenase-like,KO:K05277,EC:1.14.20.4,
113318553,anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like isoform X1,KO:K08695,EC:1.3.1.77,
113348609,anthocyanidin reductase ((2S)-flavan-3-ol-forming)-like isoform X1,KO:K08695,EC:1.3.1.77,
113273916,leucoanthocyanidin reductase-like,KO:K13081,EC:1.17.1.3,
113277573,leucoanthocyanidin reductase-like,KO:K13081,EC:1.17.1.3,
113328656,vinorine synthase-like,KO:K13065,EC:2.3.1.133,
113328720,shikimate O-hydroxycinnamoyltransferase-like,KO:K13065,EC:2.3.1.133,
113272562,tryptamine hydroxycinnamoyltransferase 1-like,KO:K13065,EC:2.3.1.133,
113278599,agmatine coumaroyltransferase-2-like,KO:K13065,EC:2.3.1.133,
113278601,agmatine coumaroyltransferase-2-like,KO:K13065,EC:2.3.1.133,
113329080,shikimate O-hydroxycinnamoyltransferase-like,KO:K13065,EC:2.3.1.133,
113335517,salutaridinol 7-O-acetyltransferase-like,KO:K13065,EC:2.3.1.133,
113286848,shikimate O-hydroxycinnamoyltransferase-like,KO:K13065,EC:2.3.1.133,
113339257,tryptamine hydroxycinnamoyltransferase 2-like,KO:K13065,EC:2.3.1.133,
113339443,shikimate O-hydroxycinnamoyltransferase-like,KO:K13065,EC:2.3.1.133,
113339791,shikimate O-hydroxycinnamoyltransferase-like,KO:K13065,EC:2.3.1.133,
113290492,tryptamine hydroxycinnamoyltransferase 2-like,KO:K13065,EC:2.3.1.133,
113329805,vinorine synthase-like,KO:K13065,EC:2.3.1.133,
113329834,vinorine synthase-like,KO:K13065,EC:2.3.1.133,
113329837,vinorine synthase-like,KO:K13065,EC:2.3.1.133,
113285437,tryptamine hydroxycinnamoyltransferase 1-like,KO:K13065,EC:2.3.1.133,
113285438,tryptamine hydroxycinnamoyltransferase 1-like,KO:K13065,EC:2.3.1.133,
113287013,tryptamine hydroxycinnamoyltransferase 2-like,KO:K13065,EC:2.3.1.133,
113295099,vinorine synthase-like,KO:K13065,EC:2.3.1.133,
113317937,agmatine coumaroyltransferase-2-like,KO:K13065,EC:2.3.1.133,
113278961,vinorine synthase-like,KO:K13065,EC:2.3.1.133,
113278963,vinorine synthase-like,KO:K13065,EC:2.3.1.133,
113291748,vinorine synthase-like,KO:K13065,EC:2.3.1.133,
113293955,salutaridinol 7-O-acetyltransferase-like,KO:K13065,EC:2.3.1.133,
113323848,shikimate O-hydroxycinnamoyltransferase-like,KO:K13065,EC:2.3.1.133,
113343787,vinorine synthase-like,KO:K13065,EC:2.3.1.133,
113343868,agmatine coumaroyltransferase-2-like,KO:K13065,EC:2.3.1.133,
113343871,agmatine coumaroyltransferase-2-like,KO:K13065,EC:2.3.1.133,
113343874,putrescine hydroxycinnamoyltransferase 3-like,KO:K13065,EC:2.3.1.133,
113343875,agmatine hydroxycinnamoyltransferase 1-like,KO:K13065,EC:2.3.1.133,
113343880,agmatine coumaroyltransferase-2-like,KO:K13065,EC:2.3.1.133,
113343922,agmatine coumaroyltransferase-2-like,KO:K13065,EC:2.3.1.133,
113344094,shikimate O-hydroxycinnamoyltransferase-like,KO:K13065,EC:2.3.1.133,
113282563,tryptamine hydroxycinnamoyltransferase 2-like,KO:K13065,EC:2.3.1.133,
113301872,tryptamine hydroxycinnamoyltransferase 1-like,KO:K13065,EC:2.3.1.133,
113339843,shikimate O-hydroxycinnamoyltransferase-like,KO:K13065,EC:2.3.1.133,
