Rosa chinensis, 112175453, polyketide synthase 1, KO:K00660, EC:2.3.1.74, Rosa chinensis, 112175464, polyketide synthase 1-like, 
KO:K00660, EC:2.3.1.74, Rosa chinensis, 112175474, polyketide synthase 1-like, KO:K00660, EC:2.3.1.74, 
Rosa chinensis, 112200102, polyketide synthase 5-like, KO:K00660, EC:2.3.1.74, Rosa chinensis, 112185875, 
probable chalcone--flavonone isomerase 3, KO:K01859, EC:5.5.1.6, Rosa chinensis, 112182551, chalcone--flavonone isomerase 2, KO:K01859, 
EC:5.5.1.6, Rosa chinensis, 112186620, naringenin,2-oxoglutarate 3-dioxygenase, KO:K00475, EC:1.14.11.9, Rosa chinensis, 
112173037, flavonol synthase/flavanone 3-hydroxylase-like, KO:K05278, EC:1.14.20.6, Rosa chinensis, 112170431, flavonol synthase/flavanone 3-hydroxylase, 
KO:K05278, EC:1.14.20.6, Rosa chinensis, 112164584, trans-cinnamate 4-monooxygenase, KO:K00487, EC:1.14.14.91, 
Rosa chinensis, 112197469, cytochrome P450 CYP73A100-like, KO:K00487, EC:1.14.14.91, Rosa chinensis, 112178545, 
flavonoid 3'-monooxygenase, KO:K05280, EC:1.14.14.82, Rosa chinensis, 112173668, bifunctional dihydroflavonol 4-reductase/flavanone 4-reductase, KO:K13082, 
EC:1.1.1.219 1.1.1.234, Rosa chinensis, 112179310, leucoanthocyanidin dioxygenase, KO:K05277, EC:1.14.20.4, Rosa chinensis, 
112202296, anthocyanidin reductase ((2S)-flavan-3-ol-forming), KO:K08695, EC:1.3.1.77, Rosa chinensis, 112199978, leucoanthocyanidin reductase-like, 
KO:K13081, EC:1.17.1.3, Rosa chinensis, 112177051, UDP-glycosyltransferase 88F3-like, KO:K22845, EC:2.4.1.357, 
Rosa chinensis, 112180056, UDP-glycosyltransferase 88F3-like, KO:K22845, EC:2.4.1.357, Rosa chinensis, 112202849, 
UDP-glycosyltransferase 88F3-like, KO:K22845, EC:2.4.1.357, Rosa chinensis, 112202850, anthocyanidin 5,3-O-glucosyltransferase-like, KO:K22845, 
EC:2.4.1.357, Rosa chinensis, 112176186, vinorine synthase-like isoform X1, KO:K13065, EC:2.3.1.133, Rosa chinensis, 
112166338, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Rosa chinensis, 112178177, vinorine synthase-like, 
KO:K13065, EC:2.3.1.133, Rosa chinensis, 112178180, vinorine synthase-like, KO:K13065, EC:2.3.1.133, 
Rosa chinensis, 112177725, spermidine hydroxycinnamoyl transferase, KO:K13065, EC:2.3.1.133, Rosa chinensis, 112169753, 
vinorine synthase-like, KO:K13065, EC:2.3.1.133, Rosa chinensis, 112165685, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, 
EC:2.3.1.133, Rosa chinensis, 112167004, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Rosa chinensis, 
112164644, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Rosa chinensis, 112181708, vinorine synthase-like, 
KO:K13065, EC:2.3.1.133, Rosa chinensis, 112182037, vinorine synthase-like, KO:K13065, EC:2.3.1.133, 
Rosa chinensis, 112183662, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Rosa chinensis, 112187366, 
shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Rosa chinensis, 112198396, vinorine synthase-like, KO:K13065, 
EC:2.3.1.133, Rosa chinensis, 112199611, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Rosa chinensis, 
112202397, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Rosa chinensis, 112193063, vinorine synthase-like, 
KO:K13065, EC:2.3.1.133, Rosa chinensis, 112199941, vinorine synthase-like, KO:K13065, EC:2.3.1.133, 
Rosa chinensis, 112201401, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Rosa chinensis, 112201402, 
shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Rosa chinensis, 112201403, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, 
EC:2.3.1.133, Rosa chinensis, 112194338, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Rosa chinensis, 
112197637, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Rosa chinensis, 112201481, shikimate O-hydroxycinnamoyltransferase-like isoform X1, 
KO:K13065, EC:2.3.1.133, Rosa chinensis, 112187919, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, 
Rosa chinensis, 112195959, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Rosa chinensis, 112194524, 
vinorine synthase-like, KO:K13065, EC:2.3.1.133, Rosa chinensis, 112197733, vinorine synthase-like, KO:K13065, 
EC:2.3.1.133, Rosa chinensis, 112196116, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Rosa chinensis, 
112200703, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Rosa chinensis, 112200709, vinorine synthase-like, 
KO:K13065, EC:2.3.1.133, Rosa chinensis, 112202237, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, 
Rosa chinensis, 112191575, cytochrome P450 98A2, KO:K09754, EC:1.14.14.96, Rosa chinensis, 112181235, 
flavonoid 3',5'-methyltransferase-like isoform X1, KO:K00588, EC:2.1.1.104, Rosa chinensis, 112186354, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, 
EC:2.1.1.104, Rosa chinensis, 112186358, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Rosa chinensis, 
112186378, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1, KO:K00588, EC:2.1.1.104, Rosa chinensis, 112186379, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1, 
KO:K00588, EC:2.1.1.104, Rosa chinensis, 112186380, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, 
Rosa chinensis, 112186382, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1, KO:K00588, EC:2.1.1.104, Rosa chinensis, 112186383, 
probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Rosa chinensis, 112174665, caffeoyl-CoA O-methyltransferase, KO:K00588, 
EC:2.1.1.104, Rosa chinensis, 112201013, flavonoid 3',5'-methyltransferase-like, KO:K00588, EC:2.1.1.104, Rosa chinensis, 
112195834, flavonoid 3',5'-methyltransferase-like, KO:K00588, EC:2.1.1.104, Rosa chinensis, 112190223, probable caffeoyl-CoA O-methyltransferase At4g26220, 
KO:K00588, EC:2.1.1.104, Rosa chinensis, 112190432, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, 
Rosa chinensis, 112194815, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1, KO:K00588, EC:2.1.1.104, Rosa chinensis, 112198185, 
acylsugar acyltransferase 3-like, 
