Eucalyptus grandis, 104421642, phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Eucalyptus grandis, 104421783, phenylalanine ammonia-lyase, 
KO:K10775, EC:4.3.1.24, Eucalyptus grandis, 104454954, phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, 
Eucalyptus grandis, 104438154, phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Eucalyptus grandis, 104454225, 
phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Eucalyptus grandis, 104454226, phenylalanine ammonia-lyase, KO:K10775, 
EC:4.3.1.24, Eucalyptus grandis, 104454227, phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Eucalyptus grandis, 
104454228, phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Eucalyptus grandis, 104454229, phenylalanine ammonia-lyase, 
KO:K10775, EC:4.3.1.24, Eucalyptus grandis, 104422338, trans-cinnamate 4-monooxygenase, KO:K00487, EC:1.14.14.91, 
Eucalyptus grandis, 104435887, cytochrome P450 CYP73A100, KO:K00487, EC:1.14.14.91, Eucalyptus grandis, 104434060, 
4-coumarate--CoA ligase-like 7, KO:K01904, EC:6.2.1.12, Eucalyptus grandis, 104424278, LOW QUALITY PROTEIN: 4-coumarate--CoA ligase 2, KO:K01904, 
EC:6.2.1.12, Eucalyptus grandis, 104434065, 4-coumarate--CoA ligase-like 7, KO:K01904, EC:6.2.1.12, Eucalyptus grandis, 
104426337, 4-coumarate--CoA ligase-like 7, KO:K01904, EC:6.2.1.12, Eucalyptus grandis, 104426338, 4-coumarate--CoA ligase-like 7, 
KO:K01904, EC:6.2.1.12, Eucalyptus grandis, 104433684, 4-coumarate--CoA ligase-like 1, KO:K01904, EC:6.2.1.12, 
Eucalyptus grandis, 104432065, 4-coumarate--CoA ligase-like 7, KO:K01904, EC:6.2.1.12, Eucalyptus grandis, 104442380, 
4-coumarate--CoA ligase-like 6, KO:K01904, EC:6.2.1.12, Eucalyptus grandis, 104437368, 4-coumarate--CoA ligase 2, KO:K01904, 
EC:6.2.1.12, Eucalyptus grandis, 104417080, 4-coumarate--CoA ligase-like 9, KO:K01904, EC:6.2.1.12, Eucalyptus grandis, 
104423238, shikimate O-hydroxycinnamoyltransferase, KO:K13065, EC:2.3.1.133, Eucalyptus grandis, 104424200, spermidine hydroxycinnamoyl transferase, 
KO:K13065, EC:2.3.1.133, Eucalyptus grandis, 104426975, omega-hydroxypalmitate O-feruloyl transferase, KO:K13065, EC:2.3.1.133, 
Eucalyptus grandis, 104430095, acetyl-CoA-benzylalcohol acetyltransferase-like, KO:K13065, EC:2.3.1.133, Eucalyptus grandis, 104430461, 
vinorine synthase, KO:K13065, EC:2.3.1.133, Eucalyptus grandis, 104429571, vinorine synthase, KO:K13065, 
EC:2.3.1.133, Eucalyptus grandis, 104431840, acetyl-CoA-benzylalcohol acetyltransferase-like, KO:K13065, EC:2.3.1.133, Eucalyptus grandis, 
104431976, acetyl-CoA-benzylalcohol acetyltransferase-like, KO:K13065, EC:2.3.1.133, Eucalyptus grandis, 104433449, vinorine synthase, 
KO:K13065, EC:2.3.1.133, Eucalyptus grandis, 104433450, vinorine synthase, KO:K13065, EC:2.3.1.133, 
Eucalyptus grandis, 104433451, vinorine synthase, KO:K13065, EC:2.3.1.133, Eucalyptus grandis, 104433455, 
vinorine synthase, KO:K13065, EC:2.3.1.133, Eucalyptus grandis, 104434025, agmatine coumaroyltransferase-2, KO:K13065, 
EC:2.3.1.133, Eucalyptus grandis, 104435605, vinorine synthase, KO:K13065, EC:2.3.1.133, Eucalyptus grandis, 
104435652, vinorine synthase, KO:K13065, EC:2.3.1.133, Eucalyptus grandis, 104431197, acetyl-CoA-benzylalcohol acetyltransferase-like, 
KO:K13065, EC:2.3.1.133, Eucalyptus grandis, 104455130, acetyl-CoA-benzylalcohol acetyltransferase, KO:K13065, EC:2.3.1.133, 
Eucalyptus grandis, 104455132, acetyl-CoA-benzylalcohol acetyltransferase, KO:K13065, EC:2.3.1.133, Eucalyptus grandis, 104455134, 
acetyl-CoA-benzylalcohol acetyltransferase, KO:K13065, EC:2.3.1.133, Eucalyptus grandis, 104455138, acetyl-CoA-benzylalcohol acetyltransferase, KO:K13065, 
EC:2.3.1.133, Eucalyptus grandis, 104455140, acetyl-CoA-benzylalcohol acetyltransferase, KO:K13065, EC:2.3.1.133, Eucalyptus grandis, 
