110799759,chalcone synthase 3-like,KO:K00660,EC:2.3.1.74,
110785055,chalcone synthase-like isoform X1,KO:K00660,EC:2.3.1.74,
110800395,chalcone synthase 2-like,KO:K00660,EC:2.3.1.74,
110799468,chalcone synthase 3-like,KO:K00660,EC:2.3.1.74,
110774849,chalcone synthase,KO:K00660,EC:2.3.1.74,
110774850,chalcone synthase-like,KO:K00660,EC:2.3.1.74,
110776933,chalcone synthase-like,KO:K00660,EC:2.3.1.74,
110784496,chalcone synthase 2-like,KO:K00660,EC:2.3.1.74,
110784497,chalcone synthase 2-like,KO:K00660,EC:2.3.1.74,
110803758,probable chalcone--flavonone isomerase 3,KO:K01859,EC:5.5.1.6,
110775438,probable chalcone--flavonone isomerase 3 isoform X1,KO:K01859,EC:5.5.1.6,
110795717,chalcone--flavonone isomerase-like,KO:K01859,EC:5.5.1.6,
110799526,naringenin,2-oxoglutarate 3-dioxygenase-like,KO:K00475,EC:1.14.11.9,
110799527,naringenin,2-oxoglutarate 3-dioxygenase-like,KO:K00475,EC:1.14.11.9,
110800737,naringenin,2-oxoglutarate 3-dioxygenase-like,KO:K00475,EC:1.14.11.9,
110795044,flavonol synthase/flavanone 3-hydroxylase-like,KO:K05278,EC:1.14.20.6,
110778214,flavonol synthase/flavanone 3-hydroxylase-like,KO:K05278,EC:1.14.20.6,
110797393,trans-cinnamate 4-monooxygenase,KO:K00487,EC:1.14.14.91,
110783961,cytochrome P450 CYP73A100-like,KO:K00487,EC:1.14.14.91,
110789886,flavonoid 3'-monooxygenase,KO:K05280,EC:1.14.14.82,
110794664,dihydroflavonol 4-reductase,KO:K13082,EC:1.1.1.219 1.1.1.234,
110784326,leucoanthocyanidin dioxygenase-like,KO:K05277,EC:1.14.20.4,
110789492,leucoanthocyanidin reductase-like,KO:K13081,EC:1.17.1.3,
110779552,UDP-glycosyltransferase 88B1-like,KO:K22845,EC:2.4.1.357,
110780917,salutaridinol 7-O-acetyltransferase-like,KO:K13065,EC:2.3.1.133,
110775950,spermidine hydroxycinnamoyl transferase-like,KO:K13065,EC:2.3.1.133,
110786280,anthranilate N-benzoyltransferase protein 1-like,KO:K13065,EC:2.3.1.133,
110797736,spermidine hydroxycinnamoyl transferase-like,KO:K13065,EC:2.3.1.133,
110803480,spermidine hydroxycinnamoyl transferase-like,KO:K13065,EC:2.3.1.133,
110782847,anthranilate N-benzoyltransferase protein 2-like,KO:K13065,EC:2.3.1.133,
110787836,shikimate O-hydroxycinnamoyltransferase-like,KO:K13065,EC:2.3.1.133,
110806241,anthranilate N-benzoyltransferase protein 2-like,KO:K13065,EC:2.3.1.133,
110801780,spermidine hydroxycinnamoyl transferase-like,KO:K13065,EC:2.3.1.133,
110796014,acetyl-CoA-benzylalcohol acetyltransferase-like,KO:K13065,EC:2.3.1.133,
110794219,anthranilate N-benzoyltransferase protein 2-like,KO:K13065,EC:2.3.1.133,
110779503,cytochrome P450 98A2-like,KO:K09754,EC:1.14.14.96,
110778982,cytochrome P450 98A2,KO:K09754,EC:1.14.14.96,
110799229,cytochrome P450 98A2-like,KO:K09754,EC:1.14.14.96,
110779299,caffeoyl-CoA O-methyltransferase-like,KO:K00588,EC:2.1.1.104,
110782641,caffeoyl-CoA O-methyltransferase 5,KO:K00588,EC:2.1.1.104,
110794362,flavonoid 3',5'-methyltransferase-like,KO:K00588,EC:2.1.1.104,
110800103,flavonoid 3',5'-methyltransferase-like isoform X1,KO:K00588,EC:2.1.1.104,
110800104,flavonoid 3',5'-methyltransferase-like,KO:K00588,EC:2.1.1.104,
110802224,flavonoid 3',5'-methyltransferase-like,KO:K00588,EC:2.1.1.104,
110803457,caffeoyl-CoA O-methyltransferase,KO:K00588,EC:2.1.1.104,
110803466,probable caffeoyl-CoA O-methyltransferase At4g26220,KO:K00588,EC:2.1.1.104,

